10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
10/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
11/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
12/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
13/03/2016; CORPOGUAJIRA ; Riohacha - CORPOGUAJIRA ; Automática ; 11.546889 ; -72.907278 ; 44 ; LA GUAJIRA ; 44001 ; RIOHACHA ; Indicativa ; 1 ; Precipitación Líquida ; mm ; 0 
